,beta.pinene,L.alfa.bornyl.acetate,beta.Caryophyllene.oxide,alfa.Caryophyllene,beta.Cubebene,alfa.Cubenene,delta.Cadinene,alfa.Muurolene
SS15,0.375825243,0.223592233,1.717378641,0,0.285436893,0.252135922,0.518543689,0.166504854
SS15,0,3.70510397,4.696219282,0.796597353,1.25047259,1.546880907,0,0.791965974
SS15,3.375555556,2.114259259,5.539722222,0.716851852,0.358425926,0.784907407,1.755833333,0
SS15,3.106654344,1.363123845,5.488724584,0.987245841,1.195563771,0.461922366,4.048613678,0.552495379
SS15,3.38300095,2.978157645,5.104748338,0.888793922,1.54957265,1.703133903,2.452326686,0.939981007
SS16,0,2.570790698,6.340372093,0.770325581,0.606232558,0.433023256,1.116744186,0
SS16,2.328952569,3.30701581,4.512648221,0,0.992588933,0.735968379,1.36541502,0.653656126
SS16,0,4.941292135,3.037265918,0,0,0,0.325749064,0
SS16,0.641813602,1.289798489,2.826448363,0,0.604785894,0.191309824,1.302141058,0.222166247
SS16,0.626352016,1.840511308,2.418682399,0.443264503,0.621533923,0.486627335,1.146705998,0.457718781
SD15,0,0.495042095,2.268942937,0.330028064,0.201683817,0.137511693,0.87090739,0
SD15,0,0,0.930322581,0,0.636774194,0.28,0.668387097,0.252903226
SD15,0.471682243,0,2.358411215,0,0.251869159,0.151121495,0.975420561,0.238130841
SD15,0,1.165302144,2.784307992,0.315204678,0,0,0.148050682,0
SD15,0.223465909,0.201988636,0.478636364,0.127840909,0.073125,0.060340909,0.174886364,0.103806818
SD16,0.103097345,0,0,0.111061947,0,0.063716814,0.290265487,0.048672566
SD16,0.118676471,0.351617647,0.236470588,0.075441176,0.093088235,0.099705882,0.262941176,0.060882353
SD16,0,0.438344126,0.497039778,0.071184089,0.179000925,0.047039778,0.260592044,0.052451434
SD16,0,0,0.711687088,0.082280867,0,0,0.029264844,0
SD16,0.085491493,0,0.400661626,0.116115312,0.216493384,0.075708885,0.182041588,0.080812854
CS15,0.117052023,0,0.98583815,0.116011561,0,0.05150289,0.753294798,0.069190751
CS15,0,0.282743363,0.850719027,0.11050885,0,0,0.075663717,0
CS15,0.363641618,0,0.573815029,0.085317919,0.093121387,0.13734104,0.124855491,0.086358382
CS15,0.117073171,0,0,0,0.099303136,0.033972125,0.671080139,0
CS15,0,0.351334107,0.490197216,0.088225058,0.121113689,0.07987239,0.140429234,0.11537123
CS16,0.193764706,0,0.966176471,0.124411765,0.077294118,0.095823529,0.150352941,0.063
CS16,0.370103093,0.393298969,0.814948454,0.100515464,0,0,0.065463918,0
CS16,0.268457143,0.424285714,0.577542857,0.089485714,0.117771429,0.082285714,0.150685714,0.086914286
CS16,0.136423119,0.161450382,0.573664122,0.083424209,0.090294438,0.038767721,0.265485278,0.050054526
CS16,0.397273782,0.351856148,0.548665893,0,0.114849188,0.073607889,0.151914153,0.101798144
CD15,0,0,0.831270903,0,0,0,0.426421405,0.125919732
CD15,0.100384615,0.143406593,0.539010989,0.137967033,0.043516484,0.107307692,0.251208791,0.114725275
CD15,0,0.436719637,0.509761635,0.068955732,0.051589103,0.034222474,1.498127128,0
CD15,0.089400666,0.32563818,0.771143174,0,0,0,0.063429523,0
CD15,0.087919075,0.367803468,0.262716763,0,0.143583815,0.052543353,0.201849711,0.078554913
CD16,0.219475446,0.142633929,0.763392857,0.111997768,0.04921875,0.023604911,0.263169643,0
CD16,0.316053512,0.18361204,0.472073579,0.122909699,0.093812709,0.126421405,0.172575251,0.080769231
CD16,0,0.431939799,0.55735786,0.083277592,0.166053512,0,0.670234114,0.050668896
CD16,0.201809211,0.686842105,0.716940789,0.088322368,0,0,0.028125,0
CD16,0.064069507,0.38088565,0.246188341,0,0,0.042881166,0.171524664,0
