"Id"	"Pk"	"RT"	"Area"	"Ref"	"CAS"	"Qual"
"LibSrch_10"	1	5.275	2.44	15500	"000127-91-3"	97
"LibSrch_10"	1	5.275	2.44	15721	"018172-67-3"	95
"LibSrch_10"	1	5.275	2.44	15517	"007785-70-8"	94
"LibSrch_10"	2	5.347	2.37	15500	"000127-91-3"	96
"LibSrch_10"	2	5.347	2.37	15517	"007785-70-8"	94
"LibSrch_10"	2	5.347	2.37	15704	"003387-41-5"	91
"LibSrch_10"	3	5.556	0.82	15485	"013466-78-9"	93
"LibSrch_10"	3	5.556	0.82	15686	"000099-85-4"	93
"LibSrch_10"	3	5.556	0.82	15515	"007785-70-8"	91
"LibSrch_10"	4	5.756	0.88	15483	"000138-86-3"	89
"LibSrch_10"	4	5.756	0.88	15493	"005989-27-5"	86
"LibSrch_10"	4	5.756	0.88	15673	"053282-47-6"	72
"LibSrch_10"	5	5.796	1.9	15678	"000099-85-4"	87
"LibSrch_10"	5	5.796	1.9	15700	"000498-15-7"	81
"LibSrch_10"	5	5.796	1.9	15686	"000099-85-4"	76
"LibSrch_10"	6	6.293	0.81	15665	"000586-62-9"	98
"LibSrch_10"	6	6.293	0.81	15648	"000554-61-0"	95
"LibSrch_10"	6	6.293	0.81	15477	"029714-87-2"	94
"LibSrch_10"	7	7.487	47.46	16250	"000099-89-8"	97
"LibSrch_10"	7	7.487	47.46	16258	"000618-45-1"	91
"LibSrch_10"	7	7.487	47.46	16255	"000618-45-1"	91
"LibSrch_10"	8	7.976	6.83	56274	"000076-49-3"	97
"LibSrch_10"	8	7.976	6.83	56372	"092618-89-8"	95
"LibSrch_10"	8	7.976	6.83	56390	"005655-61-8"	94
"LibSrch_10"	9	8.441	1.52	62286	"017699-14-8"	95
"LibSrch_10"	9	8.441	1.52	62285	"017699-14-8"	91
"LibSrch_10"	9	8.441	1.52	62283	"017699-14-8"	91
"LibSrch_10"	10	8.689	1.05	62244	"003856-25-5"	96
"LibSrch_10"	10	8.689	1.05	62245	"003856-25-5"	89
"LibSrch_10"	10	8.689	1.05	62286	"017699-14-8"	81
"LibSrch_10"	11	8.754	2.05	62563	"013744-15-5"	98
"LibSrch_10"	11	8.754	2.05	62562	"013744-15-5"	95
"LibSrch_10"	11	8.754	2.05	62379	"150320-52-8"	89
"LibSrch_10"	12	9.05	9.32	62264	"000087-44-5"	83
"LibSrch_10"	12	9.05	9.32	62261	"000087-44-5"	68
"LibSrch_10"	12	9.05	9.32	62431	"000118-65-0"	64
"LibSrch_10"	13	9.299	1.47	62361	"1000062-61-9"	95
"LibSrch_10"	13	9.299	1.47	62311	"006753-98-6"	95
"LibSrch_10"	13	9.299	1.47	15615	"003338-55-4"	91
"LibSrch_10"	14	9.507	1.35	62470	"031983-22-9"	99
"LibSrch_10"	14	9.507	1.35	62471	"031983-22-9"	95
"LibSrch_10"	14	9.507	1.35	62409	"000483-75-0"	95
"LibSrch_10"	15	9.539	1.02	62379	"150320-52-8"	93
"LibSrch_10"	15	9.539	1.02	62525	"030021-74-0"	93
"LibSrch_10"	15	9.539	1.02	62563	"013744-15-5"	91
"LibSrch_10"	16	9.627	2.82	62441	"000483-76-1"	97
"LibSrch_10"	16	9.627	2.82	62439	"000483-76-1"	95
"LibSrch_10"	16	9.627	2.82	62440	"000483-76-1"	95
"LibSrch_10"	17	9.667	12.06	62330	"054324-03-7"	62
"LibSrch_10"	17	9.667	12.06	62523	"039029-41-9"	60
"LibSrch_10"	17	9.667	12.06	62517	"039029-41-9"	60
"LibSrch_10"	18	9.748	0.96	62408	"016728-99-7"	93
"LibSrch_10"	18	9.748	0.96	62407	"016728-99-7"	90
"LibSrch_10"	18	9.748	0.96	62520	"000469-61-4"	68
"LibSrch_10"	19	10.084	2.87	76518	"072120-50-4"	95
"LibSrch_10"	19	10.084	2.87	62445	"005951-67-7"	51
"LibSrch_10"	19	10.084	2.87	62441	"000483-76-1"	48
"LibSrch_11"	1	3.159	0.15	1518	"000075-09-2"	64
"LibSrch_11"	1	3.159	0.15	1519	"000075-09-2"	50
"LibSrch_11"	1	3.159	0.15	1516	"000075-09-2"	38
"LibSrch_11"	2	4.778	0.22	15517	"007785-70-8"	55
"LibSrch_11"	2	4.778	0.22	15570	"013877-91-3"	53
"LibSrch_11"	2	4.778	0.22	15545	"005208-50-4"	46
"LibSrch_11"	3	4.866	0.16	15517	"007785-70-8"	35
"LibSrch_11"	3	4.866	0.16	15707	"002437-95-8"	35
"LibSrch_11"	3	4.866	0.16	15616	"003779-61-1"	35
"LibSrch_11"	4	5.283	1.05	15704	"003387-41-5"	91
"LibSrch_11"	4	5.283	1.05	15721	"018172-67-3"	91
"LibSrch_11"	4	5.283	1.05	15655	"000099-84-3"	91
"LibSrch_11"	5	5.339	0.85	15704	"003387-41-5"	93
"LibSrch_11"	5	5.339	0.85	15605	"029548-02-5"	90
"LibSrch_11"	5	5.339	0.85	15500	"000127-91-3"	90
"LibSrch_11"	6	5.564	0.46	15480	"013466-78-9"	93
"LibSrch_11"	6	5.564	0.46	15514	"007785-26-4"	90
"LibSrch_11"	6	5.564	0.46	15515	"007785-70-8"	90
"LibSrch_11"	7	5.628	0.38	15517	"007785-70-8"	86
"LibSrch_11"	7	5.628	0.38	15685	"000099-85-4"	80
"LibSrch_11"	7	5.628	0.38	15515	"007785-70-8"	74
"LibSrch_11"	8	5.764	0.54	15483	"000138-86-3"	90
"LibSrch_11"	8	5.764	0.54	15703	"007705-14-8"	83
"LibSrch_11"	8	5.764	0.54	15494	"005989-27-5"	78
"LibSrch_11"	9	5.804	0.75	15517	"007785-70-8"	83
"LibSrch_11"	9	5.804	0.75	15509	"000123-35-3"	70
"LibSrch_11"	9	5.804	0.75	15700	"000498-15-7"	52
"LibSrch_11"	10	6.301	0.16	15597	"028935-76-4"	55
"LibSrch_11"	10	6.301	0.16	15708	"000499-03-6"	46
"LibSrch_11"	10	6.301	0.16	43001	"1000185-13-4"	46
"LibSrch_11"	11	7.495	76.12	16250	"000099-89-8"	97
"LibSrch_11"	11	7.495	76.12	16258	"000618-45-1"	94
"LibSrch_11"	11	7.495	76.12	16256	"000099-89-8"	91
"LibSrch_11"	12	7.976	4.02	56274	"000076-49-3"	97
"LibSrch_11"	12	7.976	4.02	56372	"092618-89-8"	96
"LibSrch_11"	12	7.976	4.02	56390	"005655-61-8"	94
"LibSrch_11"	13	9.05	6.62	62261	"000087-44-5"	98
"LibSrch_11"	13	9.05	6.62	62432	"000118-65-0"	83
"LibSrch_11"	13	9.05	6.62	62264	"000087-44-5"	58
"LibSrch_11"	14	9.299	0.75	15615	"003338-55-4"	95
"LibSrch_11"	14	9.299	0.75	62311	"006753-98-6"	95
"LibSrch_11"	14	9.299	0.75	15570	"013877-91-3"	94
"LibSrch_11"	15	9.467	0.76	62218	"1000210-81-9"	50
"LibSrch_11"	15	9.467	0.76	51538	"061477-41-6"	44
"LibSrch_11"	15	9.467	0.76	62307	"060909-27-5"	42
"LibSrch_11"	16	9.587	0.22	62526	"022567-17-5"	90
"LibSrch_11"	16	9.587	0.22	62550	"067843-59-8"	60
"LibSrch_11"	16	9.587	0.22	62537	"025246-27-9"	58
"LibSrch_11"	17	9.635	0.71	62441	"000483-76-1"	94
"LibSrch_11"	17	9.635	0.71	62440	"000483-76-1"	93
"LibSrch_11"	17	9.635	0.71	62258	"041702-63-0"	90
"LibSrch_11"	18	9.732	0.18	62257	"001405-16-9"	64
"LibSrch_11"	18	9.732	0.18	62415	"000483-75-0"	45
"LibSrch_11"	18	9.732	0.18	15621	"016609-28-2"	43
"LibSrch_11"	19	10.084	1.16	62379	"150320-52-8"	74
"LibSrch_11"	19	10.084	1.16	76518	"072120-50-4"	53
"LibSrch_11"	19	10.084	1.16	62421	"023986-74-5"	47
"LibSrch_11"	20	10.485	0.17	62465	"006813-21-4"	53
