"logFC"	"logCPM"	"PValue"	"FDR"
"AB_000588_T.1"	7.95049726661845	-0.656119145242538	1.70965907995473e-07	0.00294254964079815
"AB_045531_T.1"	4.51370268594413	1.11321642642373	1.87975989725186e-07	0.00294254964079815
"AB_038616_T.1"	-5.07067068177673	2.21228375325502	2.34771652945253e-07	0.00294254964079815
"AB_036475_T.1"	1.42531546105697	5.91294036198254	4.21328267369447e-07	0.00396059104533965
"AB_035458_T.1"	-2.7631008332445	2.43884381652376	6.25971273758546e-07	0.00470742917291902
"AB_005940_T.1"	5.36762994278407	0.911879086023116	1.23140209227282e-06	0.00771699167859171
"AB_029013_T.1"	-1.3807643734758	5.73766719257847	1.55639013468547e-06	0.0083602607791869
"AB_015092_T.1"	1.6227866941638	5.16516338990309	1.81627744274863e-06	0.00853673101559889
"AB_045013_T.1"	7.64868013700801	1.07292817752123	2.40653598577479e-06	0.0100542399556798
"AB_029334_T.1"	-1.18209002659921	6.47118258022492	3.55733235028675e-06	0.0128715842017236
"AB_014935_T.1"	6.04913540692874	5.83429760795114	3.76552289085289e-06	0.0128715842017236
"AB_039085_T.1"	5.91972916298533	-2.20993827186889	6.76757360446524e-06	0.0212056279251248
"AB_033107_T.1"	4.2728465186821	5.70435887863625	8.23342476372473e-06	0.0238142311185241
"AB_030539_T.1"	7.07411518540772	-0.109358514972063	1.02302772119472e-05	0.0274763323890304
"AB_044701_T.1"	4.20356144175662	1.73191978009715	1.47827934178121e-05	0.0370565210202101
"AB_018867_T.1"	1.379383420758	4.74295036438064	2.15472252873523e-05	0.0506373261268583
"AB_030270_T.1"	-2.30599189470773	4.22554439868768	2.30926851964575e-05	0.0510769444748235
"AB_041872_T.1"	3.34819208763773	2.25907353571862	2.67743914271179e-05	0.0559302162250588
"AB_027705_T.1"	4.45787386415108	1.46936261247855	3.06098533278922e-05	0.0605768997358986
"AB_016376_T.1"	1.51959234384896	6.19566309405072	4.09311973422417e-05	0.0769526975632815
"AB_014498_T.1"	2.25060036733867	4.1626086747916	5.81544894928207e-05	0.104126998067598
"AB_045635_T.1"	3.58969190070458	4.26632925609118	7.34748811169277e-05	0.125356235325096
"AB_023847_T.1"	-4.25265116747817	5.15938422340124	7.66786365383158e-05	0.125356235325096
"AB_036607_T.1"	-1.7569150077077	3.83791201257173	8.18345461939711e-05	0.128210865476646
"AB_033790_T.1"	-3.13805113102151	3.08924057826231	9.23961396306086e-05	0.135398563574562
"AB_031478_T.1"	3.52173282037302	0.520222149620193	0.000100869978417739	0.135398563574562
"AB_025585_T.1"	3.60690401070724	0.944116456834067	0.000101485921569024	0.135398563574562
"AB_016918_T.1"	1.06655275196142	7.74752570466976	0.000103859168829304	0.135398563574562
"AB_030083_T.1"	2.23987377601066	5.77899423886795	0.000104980046087324	0.135398563574562
"AB_024194_T.1"	3.82075622749214	1.616190514687	0.000108027895727158	0.135398563574562
"AB_041364_T.1"	4.03012430659084	-1.96406129503977	0.000124859725231392	0.147392605479467
"AB_024551_T.1"	3.60625466214631	1.92528380164763	0.000125437179206483	0.147392605479467
"AB_045762_T.1"	3.4147727641375	3.47396136319168	0.000131589506155819	0.149936273362575
"AB_002103_T.1"	-2.33724263342208	1.02195434187619	0.000146292662997397	0.153821307254806
"AB_032645_T.1"	3.31158817185438	3.07329072959637	0.000146316181809485	0.153821307254806
"AB_023831_T.1"	1.36773929747512	3.20585794324745	0.000150129333883874	0.153821307254806
"AB_002349_T.1"	1.23890884182128	4.94032933287239	0.000159164548088135	0.153821307254806
"AB_020254_T.1"	1.29286159448559	6.05455323238264	0.000159374076210715	0.153821307254806
"AB_026939_T.1"	-2.30853519813111	2.45299428680231	0.000161904704544174	0.153821307254806
"AB_003359_T.1"	-1.66087882262761	5.56257786238318	0.00016363533656531	0.153821307254806
"AB_014823_T.1"	-1.01766044498045	5.07248299436041	0.00016839695648483	0.154436438067954
"AB_021689_T.1"	-1.24707281443394	4.91182516724505	0.000172770601737774	0.15467493799862
"AB_029098_T.1"	6.26242877074301	1.09016644660246	0.000181565145471831	0.158768163602007
"AB_022224_T.1"	3.69337658371913	0.28011609082942	0.000192800091109204	0.164760823313572
"AB_025627_T.1"	8.85458357677657	2.35787423899817	0.000207725610237893	0.173570903790112
"AB_033604_T.1"	-3.8082665022229	1.53064779913481	0.000232627562251347	0.184658517483781
"AB_041457_T.1"	1.96701467720804	1.90729519101063	0.000237477938599483	0.184658517483781
"AB_031648_T.1"	3.39017536178552	2.75800451752654	0.000239553088103831	0.184658517483781
"AB_025516_T.1"	1.89009257655286	1.8635524896904	0.000240639008449383	0.184658517483781
"AB_043152_T.1"	5.60932602977271	3.49492893795041	0.000258443795372896	0.189898613464188
"AB_031912_T.1"	-4.71439598663153	0.064224245637666	0.000262500258351892	0.189898613464188
"AB_038466_T.1"	2.35325152631928	2.15203815437271	0.000262618757483518	0.189898613464188
"AB_040645_T.1"	2.63706285538551	1.5916402286554	0.000267988507025323	0.190125204767154
"AB_040295_T.1"	-3.9133569083143	1.54963469391465	0.000279146453440835	0.194373811033868
"AB_030538_T.1"	3.22579412671286	0.978217422396746	0.0002856385888009	0.195278119590957
"AB_045708_T.1"	1.29199639609218	6.56737745237931	0.000294725439495122	0.197892343758144
"AB_033625_T.1"	3.0487608667642	0.971245918384558	0.000306441793968337	0.202149436754446
"AB_023647_T.1"	2.29101562922455	4.36054727269332	0.000313935471239965	0.202765906742027
"AB_027457_T.1"	-1.2616810772406	5.91523236450816	0.000318161445115278	0.202765906742027
"AB_033890_T.1"	2.19506148520897	2.94791483395234	0.000324830659202514	0.203565960277895
"AB_043323_T.1"	1.23786425633494	6.43728517556142	0.000338639557860538	0.207463566373843
"AB_028371_T.1"	7.23583763151884	-1.2027539501202	0.000345750474914331	0.207463566373843
"AB_022022_T.1"	-4.85186590123341	2.16380017780063	0.000347602581887506	0.207463566373843
"AB_016209_T.1"	1.01688790766328	4.57821110977525	0.000365484873491988	0.214728073877691
"AB_017339_T.1"	3.99089582121237	-1.36451547739876	0.000379773592677052	0.21969025935769
"AB_027427_T.1"	4.27646358259073	-1.77717291539029	0.000400319217840113	0.228066710757668
"AB_030167_T.1"	3.10139706835058	1.47972509389087	0.000412075713829286	0.231260580831269
"AB_040648_T.1"	6.67420055816606	-1.76375180898712	0.000458130717939682	0.246616026058284
"AB_004241_T.1"	-2.926985822218	0.966319856428557	0.00046188048486617	0.246616026058284
"AB_046079_T.1"	6.09750430850564	1.0485049167277	0.000468211030328623	0.246616026058284
"AB_024635_T.1"	2.86163898569512	0.267246006458275	0.000470705750707536	0.246616026058284
"AB_016025_T.1"	2.25032316692162	-0.415965104855746	0.000480197755093287	0.246616026058284
"AB_041807_T.1"	2.99809346973678	0.637833926332792	0.00048182490127409	0.246616026058284
"AB_029279_T.1"	1.92589544521053	1.8179682268083	0.000486056094721057	0.246616026058284
"AB_041249_T.1"	4.45630747148125	0.568684396168142	0.000497445916642277	0.246616026058284
"AB_001824_T.1"	-2.30969197171774	5.82438428595203	0.000498465944534176	0.246616026058284
"AB_026831_T.1"	1.51515508362735	3.02040758588281	0.000513437004526499	0.249026762528598
"AB_019254_T.1"	-0.939355006907881	7.97037943871548	0.000520959896527065	0.249026762528598
"AB_025512_T.1"	1.40729380804639	5.68108960111446	0.000528872089985151	0.249026762528598
"AB_021803_T.1"	-1.93143592761771	0.216291626767837	0.000529830084367113	0.249026762528598
"AB_024550_T.1"	2.9865699193481	1.63489670038077	0.000538603034111094	0.249759304704604
"AB_032910_T.1"	2.27492143274723	2.93698052663483	0.000544673359372823	0.249759304704604
"AB_013216_T.1"	1.13395167379523	6.16482962326636	0.000569052218195698	0.251964637315963
"AB_022033_T.1"	4.21905542628044	0.687751421397267	0.000573351704787322	0.251964637315963
"AB_007840_T.1"	2.97135350558545	-0.0869911906765101	0.000576167944515216	0.251964637315963
"AB_033641_T.1"	-3.46815595152501	0.467768344426997	0.000576286769212863	0.251964637315963
"AB_011671_T.1"	1.42673190169497	1.44345688194703	0.000608819373716355	0.253397549619465
"AB_024402_T.1"	3.27162998536581	1.69954324122703	0.000609169410151341	0.253397549619465
"AB_005939_T.1"	2.25797932235894	0.617836746937237	0.000617942882251673	0.253397549619465
"AB_013457_T.1"	8.45350174698214	-0.185435214469542	0.000625883094127756	0.253397549619465
"AB_019462_T.1"	2.97939863155648	-1.73975324974978	0.000628117328248494	0.253397549619465
"AB_025584_T.1"	2.81924660463711	2.80786605606998	0.00063635272121839	0.253397549619465
"AB_043859_T.1"	7.15493388586476	0.700251052239129	0.000638186301515754	0.253397549619465
"AB_031444_T.1"	-3.06590025719604	0.468351158937241	0.000638196517747298	0.253397549619465
"AB_025313_T.1"	-1.24860148932311	2.02597562192399	0.00064423156906426	0.253397549619465
"AB_034802_T.1"	5.88352928960644	1.12272154118422	0.000646955260856591	0.253397549619465
"AB_000609_T.1"	1.39890811057327	2.68286194623701	0.000653893099013879	0.253474581608463
"AB_036346_T.1"	2.28905897087806	3.76524038241419	0.000702081274911181	0.267840667339734
"AB_017483_T.1"	3.04279153368649	-0.683454259963759	0.000712471409980359	0.267840667339734
"AB_016489_T.1"	2.61025151037579	1.49123649659056	0.00071654794669008	0.267840667339734
"AB_013716_T.1"	1.91123409501379	2.91323837684106	0.00071944648816024	0.267840667339734
"AB_032715_T.1"	2.50625136103913	2.07112474179684	0.000743141437045236	0.273949619356254
"AB_022351_T.1"	2.92087401923205	0.476980345399697	0.000753010855164878	0.27489282684519
"AB_021751_T.1"	4.82511281852267	-0.179192118780369	0.000810836276792643	0.290477943035673
"AB_024673_T.1"	-2.84357762494379	-1.72120463837013	0.000815065172886683	0.290477943035673
"AB_030948_T.1"	-1.84326888624047	1.34431829196962	0.000819106574266194	0.290477943035673
"AB_022453_T.1"	-3.58959432836683	3.51192081498888	0.000829530318355553	0.290477943035673
"AB_036940_T.1"	7.52130870003589	3.16441202018277	0.000844654008898392	0.290477943035673
"AB_024786_T.1"	-2.34419878748898	0.57398710125638	0.000847110288666568	0.290477943035673
"AB_026390_T.1"	2.96993275056412	-0.441862708777051	0.00085557575613248	0.290477943035673
"AB_024466_T.1"	3.44110697032974	-0.926634364136408	0.000863488023300258	0.290477943035673
"AB_030954_T.1"	-1.88169340465835	2.58015088579439	0.000865230435892539	0.290477943035673
"AB_035649_T.1"	2.86496473639559	0.848171439849493	0.00087499964470267	0.291158067614735
"AB_031078_T.1"	-2.48976392016924	2.26027343159931	0.000901288503553895	0.294242204345787
"AB_027431_T.1"	-2.44986288566138	5.86166781138441	0.000904820124762236	0.294242204345787
"AB_013888_T.1"	4.91565988530396	-2.8033182601955	0.000907744360631666	0.294242204345787
"AB_000011_T.1"	-1.54996171559386	1.68710886783559	0.00092699138277594	0.297912846015027
"AB_041021_T.1"	-8.85871351049016	2.95777923310203	0.000949731890673833	0.30263448153582
"AB_021681_T.1"	1.59970726835259	1.3556124556961	0.00102437484250191	0.32158769861158
"AB_018414_T.1"	-3.48415347592435	0.0656466515251388	0.00102835422253138	0.32158769861158
"AB_035535_T.1"	3.07573767289375	-1.62223137873665	0.0010348690601846	0.32158769861158
"AB_000894_T.1"	3.4378037168163	0.380995095245031	0.00106623679758859	0.328619424804333
"AB_008645_T.1"	-0.861195049572143	4.71826457884005	0.00110492673978183	0.335503858052067
"AB_044590_T.1"	-1.88767911768446	0.716526848154446	0.0011064194675263	0.335503858052067
"AB_010244_T.1"	-5.16205284359511	-0.0500617694064061	0.00112115808788373	0.336302489910661
"AB_031764_T.1"	-2.46911179797066	1.50330086485782	0.00112694113796823	0.336302489910661
"AB_038306_T.1"	2.53384543286583	2.56291378931247	0.00113934009278156	0.33732540809984
"AB_034952_T.1"	-2.69404331830223	-1.05115291111128	0.00114838972286236	0.337348452885529
"AB_007369_T.1"	-3.23204017978977	0.889038166353738	0.00117082105749445	0.34127164792906
"AB_028111_T.1"	1.48292881809462	1.11236320195358	0.00119508799139407	0.345665412033911
"AB_042275_T.1"	2.57497610574696	2.13598273691344	0.00122440375702472	0.351441264640356
"AB_044090_T.1"	-0.993534435826926	4.49054996776522	0.00124614737145498	0.354972631167263
"AB_030662_T.1"	2.94529632474181	1.60785236137567	0.00125810887419095	0.3556853517177
"AB_003677_T.1"	-1.52569269422855	2.78421521958489	0.00129025630458448	0.359196631675683
"AB_035917_T.1"	3.17212244698891	-1.37074433120473	0.00129416526772925	0.359196631675683
"AB_027926_T.1"	4.7575767728869	-2.87833432382142	0.0013067980463908	0.359196631675683
"AB_029201_T.1"	6.97667887777912	3.18982154995399	0.00130874015423974	0.359196631675683
"AB_035671_T.1"	1.0927125200083	6.62688474871497	0.00135249509462734	0.363441643423532
"AB_032568_T.1"	-2.39719432804118	-1.05565125750684	0.00135541203962182	0.363441643423532
"AB_032873_T.1"	3.5062513734014	-0.637973419972514	0.00137406950860276	0.363441643423532
